op,elapsedTime,diskIOBytes
StoreSetObject,54417,1685
StoreSetObject,14917,438
StoreSetObject,15250,482
StoreSetObject,25125,772
StoreSetObject,14833,436
StoreSetObject,24584,772
StoreSetObject,26750,776
StoreSetObject,28292,864
StoreSetObject,25000,862
StoreSetObject,17083,444
StoreSetObject,3477625,8701
StoreDeleteObject,12666,0
StoreDeleteObject,13167,0
StoreDeleteObject,87334,0
StoreDeleteObject,7875,0
StoreDeleteObject,6959,0
StoreDeleteObject,6584,0
StoreDeleteObject,6500,0
StoreDeleteObject,7000,0
StoreDeleteObject,9834,0
StoreDeleteObject,7333,0
StoreSetPackageRealm,77500,76
StoreSetObject,244209,864
StoreSetObject,55583,1379
StoreSetObject,52167,648
StoreSetObject,283333,864
StoreSetObject,68750,864
StoreSetObject,45292,863
StoreSetObject,27083,1379
StoreSetObject,38875,1379
StoreSetObject,27875,1379
StoreSetObject,25792,1380
StoreSetObject,34208,1380
StoreSetObject,25708,1380
StoreSetObject,22917,1380
StoreSetObject,30000,1380
StoreSetObject,44708,1380
StoreSetObject,83833,1575
StoreSetObject,32250,445
StoreSetObject,92875,1900
StoreSetObject,30583,438
StoreSetObject,29875,482
StoreSetObject,67541,772
StoreSetObject,16875,436
StoreSetObject,24500,772
StoreSetObject,25541,776
StoreSetObject,28000,864
StoreSetObject,42625,862
StoreSetObject,16459,444
StoreSetObject,268375,8701
StoreDeleteObject,4750,0
StoreDeleteObject,3709,0
StoreDeleteObject,3709,0
StoreDeleteObject,3792,0
StoreDeleteObject,4209,0
StoreDeleteObject,3500,0
StoreDeleteObject,3375,0
StoreDeleteObject,3500,0
StoreDeleteObject,3416,0
StoreDeleteObject,3208,0
StoreDeleteObject,3500,0
StoreSetPackageRealm,7958,76
StoreSetObject,20958,1381
StoreSetObject,28166,651
StoreSetObject,33750,867
StoreSetObject,26042,867
StoreSetObject,25875,867
StoreSetObject,30000,865
StoreSetObject,15209,1380
StoreSetObject,15958,1381
StoreSetObject,17708,1381
StoreSetObject,14250,1381
StoreSetObject,14709,1381
StoreSetObject,18875,1381
StoreSetObject,15250,1381
StoreSetObject,14792,1381
StoreSetObject,19916,1381
StoreSetObject,14291,1381
StoreSetObject,47667,1753
StoreSetObject,18292,446
StoreSetObject,67708,2116
StoreSetObject,15709,439
StoreSetObject,16417,482
StoreSetObject,25583,772
StoreSetObject,14917,436
StoreSetObject,27834,772
StoreSetObject,22417,776
StoreSetObject,24667,864
StoreSetObject,29792,862
StoreSetObject,15375,444
StoreSetObject,230375,8701
StoreDeleteObject,3750,0
StoreDeleteObject,3583,0
StoreDeleteObject,3416,0
StoreDeleteObject,3500,0
StoreDeleteObject,3084,0
StoreDeleteObject,3208,0
StoreDeleteObject,3125,0
StoreDeleteObject,3000,0
StoreDeleteObject,2959,0
StoreDeleteObject,2959,0
StoreDeleteObject,2959,0
StoreDeleteObject,3042,0
StoreSetPackageRealm,7083,77
StoreSetObject,25375,866
StoreSetObject,34917,1381
StoreSetObject,19583,651
StoreSetObject,23625,868
StoreSetObject,28500,868
StoreSetObject,29334,867
StoreSetObject,24417,865
StoreSetObject,15375,1380
StoreSetObject,20166,1381
StoreSetObject,14833,1381
StoreSetObject,14250,1381
StoreSetObject,17583,1381
StoreSetObject,14458,1381
StoreSetObject,14625,1381
StoreSetObject,16125,1381
StoreSetObject,13917,1381
StoreSetObject,14583,1381
StoreSetObject,24250,1381
StoreSetObject,43917,1928
StoreSetObject,16000,446
StoreSetObject,62083,2332
StoreSetObject,14917,439
StoreSetObject,15083,483
StoreSetObject,28333,773
StoreSetObject,19667,437
StoreSetObject,22333,773
StoreSetObject,21166,777
StoreSetObject,23958,865
StoreSetObject,23959,863
StoreSetObject,17541,445
StoreSetObject,220833,8702
StoreDeleteObject,3875,0
StoreDeleteObject,3167,0
StoreDeleteObject,3125,0
StoreDeleteObject,3042,0
StoreDeleteObject,3084,0
StoreDeleteObject,3084,0
StoreDeleteObject,3084,0
StoreDeleteObject,2958,0
StoreDeleteObject,2958,0
StoreDeleteObject,3042,0
StoreDeleteObject,2875,0
StoreDeleteObject,3000,0
StoreDeleteObject,3083,0
StoreDeleteObject,2959,0
StoreSetPackageRealm,7167,77
StoreSetObject,14625,1381
StoreSetObject,21250,652
StoreSetObject,23917,868
StoreSetObject,24916,867
StoreSetObject,34917,867
StoreSetObject,23459,866
StoreSetObject,17333,1380
StoreSetObject,13000,1381
StoreSetObject,17042,1381
StoreSetObject,12667,1381
StoreSetObject,13709,1381
StoreSetObject,18125,1381
StoreSetObject,13375,1381
StoreSetObject,14041,1381
StoreSetObject,16542,1381
StoreSetObject,16000,1381
StoreSetObject,13334,1381
StoreSetObject,19084,1381
StoreSetObject,46416,2103
StoreSetObject,15333,447
StoreSetObject,62917,2549
StoreSetObject,14541,440
StoreSetObject,17667,483
StoreSetObject,28333,773
StoreSetObject,13750,437
StoreSetObject,20250,773
StoreSetObject,21167,777
StoreSetObject,22708,865
StoreSetObject,28875,863
StoreSetObject,14791,445
StoreSetObject,211459,8702
StoreDeleteObject,3458,0
StoreDeleteObject,3666,0
StoreDeleteObject,3334,0
StoreDeleteObject,3625,0
StoreDeleteObject,3292,0
StoreDeleteObject,3208,0
StoreDeleteObject,3208,0
StoreDeleteObject,2916,0
StoreDeleteObject,3000,0
StoreDeleteObject,3583,0
StoreDeleteObject,3125,0
StoreDeleteObject,2917,0
StoreDeleteObject,3250,0
StoreDeleteObject,2958,0
StoreSetPackageRealm,7125,77
StoreSetObject,25042,866
StoreSetObject,20208,1381
StoreSetObject,19167,652
StoreSetObject,22958,869
StoreSetObject,26500,869
StoreSetObject,27458,867
StoreSetObject,22750,866
StoreSetObject,15542,1380
StoreSetObject,13458,1381
StoreSetObject,18125,1381
StoreSetObject,12750,1381
StoreSetObject,18250,1381
StoreSetObject,12750,1381
StoreSetObject,12625,1381
StoreSetObject,52750,1381
StoreSetObject,12541,1381
StoreSetObject,20916,1381
StoreSetObject,16708,1381
StoreSetObject,14458,1381
StoreSetObject,14667,1381
StoreSetObject,53041,2278
StoreSetObject,15084,447
StoreSetObject,67917,2765
StoreSetObject,15709,440
StoreSetObject,15042,483
StoreSetObject,20333,773
StoreSetObject,14416,437
StoreSetObject,25875,773
StoreSetObject,20875,777
StoreSetObject,22541,865
StoreSetObject,23333,863
StoreSetObject,14125,445
StoreSetObject,206250,8702
StoreDeleteObject,3500,0
StoreDeleteObject,3375,0
StoreDeleteObject,3333,0
StoreDeleteObject,3459,0
StoreDeleteObject,3750,0
StoreDeleteObject,3167,0
StoreDeleteObject,3084,0
StoreDeleteObject,2875,0
StoreDeleteObject,2792,0
StoreDeleteObject,3042,0
StoreDeleteObject,2958,0
StoreDeleteObject,3000,0
StoreDeleteObject,2917,0
StoreDeleteObject,3208,0
StoreDeleteObject,3291,0
StoreSetPackageRealm,6792,77
StoreSetObject,15250,1381
StoreSetObject,18833,652
StoreSetObject,29166,869
StoreSetObject,23500,869
StoreSetObject,24042,869
StoreSetObject,23334,867
StoreSetObject,27000,866
StoreSetObject,17750,1380
StoreSetObject,13500,1381
StoreSetObject,19125,1381
StoreSetObject,14125,1381
StoreSetObject,13167,1381
StoreDeleteObject,3334,0
StoreSetObject,17541,1381
StoreSetObject,13334,1381
StoreSetObject,13292,1381
StoreSetObject,19333,1381
StoreSetObject,13542,1381
StoreSetObject,13833,1381
StoreSetObject,16458,1381
StoreSetObject,15791,1381
StoreSetObject,15917,1381
StoreSetObject,72833,2453
StoreSetObject,17333,447
StoreSetObject,76875,2981
StoreSetObject,15875,440
StoreSetObject,14708,483
StoreSetObject,23667,773
StoreSetObject,20125,437
StoreSetObject,22667,773
StoreSetObject,23833,777
StoreSetObject,29125,865
StoreSetObject,25291,863
StoreSetObject,18542,445
StoreSetObject,574000,8702
StoreDeleteObject,12041,0
StoreDeleteObject,7958,0
StoreDeleteObject,8834,0
StoreDeleteObject,8250,0
StoreDeleteObject,8708,0
StoreDeleteObject,7416,0
StoreDeleteObject,7250,0
StoreDeleteObject,6584,0
StoreDeleteObject,68375,0
StoreDeleteObject,92250,0
StoreDeleteObject,6625,0
StoreDeleteObject,4334,0
StoreDeleteObject,3459,0
StoreDeleteObject,3458,0
StoreDeleteObject,3417,0
StoreDeleteObject,3500,0
StoreDeleteObject,3209,0
StoreSetPackageRealm,10834,77
StoreSetObject,30125,869
StoreSetObject,24375,1381
StoreSetObject,19791,652
StoreSetObject,23292,869
StoreSetObject,22250,869
StoreSetObject,26916,869
StoreSetObject,23167,867
StoreSetObject,22750,866
StoreSetObject,13917,1380
StoreSetObject,19375,1381
StoreSetObject,13667,1381
StoreSetObject,13250,1381
StoreSetObject,16166,1381
StoreSetObject,25333,1381
StoreSetObject,13417,1381
StoreSetObject,18083,1381
StoreSetObject,13041,1381
StoreSetObject,16958,1381
StoreSetObject,13166,1381
StoreSetObject,12042,1381
StoreSetObject,18041,1381
StoreSetObject,12750,1381
StoreSetObject,13083,1381
StoreSetObject,71292,2628
StoreSetObject,14875,447
StoreSetObject,75042,3197
StoreSetObject,14584,440
StoreSetObject,15166,483
StoreSetObject,20792,773
StoreSetObject,13709,437
StoreSetObject,22417,773
StoreSetObject,18958,777
StoreSetObject,22209,865
StoreSetObject,22709,863
StoreSetObject,13584,445
StoreSetObject,205625,8702
StoreDeleteObject,6125,0
StoreDeleteObject,3250,0
StoreDeleteObject,3333,0
StoreDeleteObject,3084,0
StoreDeleteObject,3042,0
StoreDeleteObject,3292,0
StoreDeleteObject,3083,0
StoreDeleteObject,2834,0
StoreDeleteObject,3416,0
StoreDeleteObject,3250,0
StoreDeleteObject,2875,0
StoreDeleteObject,3250,0
StoreDeleteObject,2958,0
StoreDeleteObject,2958,0
StoreDeleteObject,2834,0
StoreDeleteObject,3333,0
StoreDeleteObject,3084,0
StoreDeleteObject,3334,0
StoreDeleteObject,2875,0
StoreSetPackageRealm,7208,77
StoreSetObject,24167,869
StoreSetObject,17416,1381
StoreSetObject,17167,652
StoreSetObject,21792,869
StoreSetObject,22333,869
StoreSetObject,22042,869
StoreSetObject,26959,867
StoreSetObject,22125,866
StoreSetObject,13500,1380
StoreSetObject,16459,1381
StoreSetObject,12875,1381
StoreSetObject,12000,1381
StoreSetObject,18792,1381
StoreSetObject,12208,1381
StoreSetObject,13166,1381
StoreSetObject,15458,1381
StoreSetObject,12042,1381
StoreSetObject,12375,1381
StoreSetObject,18667,1381
StoreSetObject,13125,1381
StoreSetObject,15041,1381
StoreSetObject,13083,1381
StoreSetObject,11791,1381
StoreSetObject,16333,1381
StoreSetObject,55708,2803
StoreSetObject,14250,447
StoreSetObject,104250,3413
StoreSetObject,13958,440
StoreSetObject,18208,483
StoreSetObject,21083,773
StoreSetObject,13750,437
