BenchmarkOpSub_Float64-2                     	 5235166	       229.0 ns/op	         0 alloc-gas/op	       150.4 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpSub_Float64-2                     	 5244488	       229.9 ns/op	         0 alloc-gas/op	       151.3 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpSub_BigInt_64-2                   	 3351506	       349.1 ns/op	         0 alloc-gas/op	       259.9 ns/op(pure)	      40 B/op	       2 allocs/op
BenchmarkOpSub_BigInt_64-2                   	 3448155	       340.5 ns/op	         0 alloc-gas/op	       250.9 ns/op(pure)	      40 B/op	       2 allocs/op
BenchmarkOpSub_BigInt_64-2                   	 3431373	       341.2 ns/op	         0 alloc-gas/op	       251.7 ns/op(pure)	      40 B/op	       2 allocs/op
BenchmarkOpSub_BigInt_256-2                  	 3258417	       363.8 ns/op	         0 alloc-gas/op	       270.7 ns/op(pure)	      96 B/op	       2 allocs/op
BenchmarkOpSub_BigInt_256-2                  	 3213562	       362.8 ns/op	         0 alloc-gas/op	       269.8 ns/op(pure)	      96 B/op	       2 allocs/op
BenchmarkOpSub_BigInt_256-2                  	 3199064	       367.4 ns/op	         0 alloc-gas/op	       273.5 ns/op(pure)	      96 B/op	       2 allocs/op
BenchmarkOpSub_BigInt_1024-2                 	 2785334	       427.6 ns/op	         0 alloc-gas/op	       326.3 ns/op(pure)	     192 B/op	       2 allocs/op
BenchmarkOpSub_BigInt_1024-2                 	 2791359	       428.7 ns/op	         0 alloc-gas/op	       327.2 ns/op(pure)	     192 B/op	       2 allocs/op
BenchmarkOpSub_BigInt_1024-2                 	 2755981	       427.4 ns/op	         0 alloc-gas/op	       326.2 ns/op(pure)	     192 B/op	       2 allocs/op
BenchmarkOpSub_BigInt_4096-2                 	 1785921	       661.9 ns/op	         0 alloc-gas/op	       531.2 ns/op(pure)	     608 B/op	       2 allocs/op
BenchmarkOpSub_BigInt_4096-2                 	 1824678	       662.3 ns/op	         0 alloc-gas/op	       530.6 ns/op(pure)	     608 B/op	       2 allocs/op
BenchmarkOpSub_BigInt_4096-2                 	 1815226	       656.5 ns/op	         0 alloc-gas/op	       527.0 ns/op(pure)	     608 B/op	       2 allocs/op
BenchmarkOpMul_Int-2                         	 7263112	       164.6 ns/op	         0 alloc-gas/op	        81.14 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpMul_Int-2                         	 7239446	       165.5 ns/op	         0 alloc-gas/op	        81.87 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpMul_Int-2                         	 7277000	       165.0 ns/op	         0 alloc-gas/op	        81.50 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpMul_Float64-2                     	 5172349	       230.1 ns/op	         0 alloc-gas/op	       151.6 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpMul_Float64-2                     	 5220676	       233.2 ns/op	         0 alloc-gas/op	       154.0 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpMul_Float64-2                     	 5227400	       230.4 ns/op	         0 alloc-gas/op	       151.8 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpMul_BigInt_64-2                   	 3261631	       360.4 ns/op	         0 alloc-gas/op	       267.6 ns/op(pure)	      80 B/op	       2 allocs/op
BenchmarkOpMul_BigInt_64-2                   	 3333502	       351.7 ns/op	         0 alloc-gas/op	       258.7 ns/op(pure)	      80 B/op	       2 allocs/op
BenchmarkOpMul_BigInt_64-2                   	 3349546	       354.9 ns/op	         0 alloc-gas/op	       260.6 ns/op(pure)	      80 B/op	       2 allocs/op
BenchmarkOpMul_BigInt_256-2                  	 2825625	       419.9 ns/op	         0 alloc-gas/op	       319.5 ns/op(pure)	     128 B/op	       2 allocs/op
BenchmarkOpMul_BigInt_256-2                  	 2792998	       430.3 ns/op	         0 alloc-gas/op	       330.4 ns/op(pure)	     128 B/op	       2 allocs/op
BenchmarkOpMul_BigInt_256-2                  	 2809659	       419.9 ns/op	         0 alloc-gas/op	       320.5 ns/op(pure)	     128 B/op	       2 allocs/op
BenchmarkOpMul_BigInt_1024-2                 	 1668297	       720.8 ns/op	         0 alloc-gas/op	       594.1 ns/op(pure)	     320 B/op	       2 allocs/op
BenchmarkOpMul_BigInt_1024-2                 	 1644463	       719.3 ns/op	         0 alloc-gas/op	       593.1 ns/op(pure)	     320 B/op	       2 allocs/op
BenchmarkOpMul_BigInt_1024-2                 	 1640832	       715.6 ns/op	         0 alloc-gas/op	       591.0 ns/op(pure)	     320 B/op	       2 allocs/op
BenchmarkOpMul_BigInt_4096-2                 	  397935	      2770 ns/op	         0 alloc-gas/op	      2585 ns/op(pure)	    1184 B/op	       2 allocs/op
BenchmarkOpMul_BigInt_4096-2                 	  392953	      2750 ns/op	         0 alloc-gas/op	      2564 ns/op(pure)	    1184 B/op	       2 allocs/op
BenchmarkOpMul_BigInt_4096-2                 	  398364	      2760 ns/op	         0 alloc-gas/op	      2574 ns/op(pure)	    1184 B/op	       2 allocs/op
BenchmarkOpMul_BigInt_64x4096-2              	 1876915	       640.3 ns/op	         0 alloc-gas/op	       470.9 ns/op(pure)	     608 B/op	       2 allocs/op
BenchmarkOpMul_BigInt_64x4096-2              	 1897821	       635.0 ns/op	         0 alloc-gas/op	       463.8 ns/op(pure)	     608 B/op	       2 allocs/op
BenchmarkOpMul_BigInt_64x4096-2              	 1882602	       706.9 ns/op	         0 alloc-gas/op	       526.8 ns/op(pure)	     608 B/op	       2 allocs/op
BenchmarkOpMul_BigInt_256x4096-2             	 1533595	       768.2 ns/op	         0 alloc-gas/op	       602.7 ns/op(pure)	     608 B/op	       2 allocs/op
BenchmarkOpMul_BigInt_256x4096-2             	 1547725	       770.7 ns/op	         0 alloc-gas/op	       604.7 ns/op(pure)	     608 B/op	       2 allocs/op
BenchmarkOpMul_BigInt_256x4096-2             	 1551996	       765.2 ns/op	         0 alloc-gas/op	       601.6 ns/op(pure)	     608 B/op	       2 allocs/op
