goos: linux
goarch: amd64
pkg: alloc_bench
cpu: DO-Regular
BenchmarkAlloc_8-4            	32203646	        45.95 ns/op	       8 B/op	       1 allocs/op
BenchmarkAlloc_8-4            	31340715	        40.30 ns/op	       8 B/op	       1 allocs/op
BenchmarkAlloc_8-4            	32423942	        43.53 ns/op	       8 B/op	       1 allocs/op
BenchmarkAlloc_8-4            	28936836	        39.21 ns/op	       8 B/op	       1 allocs/op
BenchmarkAlloc_8-4            	31041408	        41.16 ns/op	       8 B/op	       1 allocs/op
BenchmarkAlloc_8-4            	25567579	        40.99 ns/op	       8 B/op	       1 allocs/op
BenchmarkAlloc_8-4            	24832018	        49.60 ns/op	       8 B/op	       1 allocs/op
BenchmarkAlloc_8-4            	27462234	        47.86 ns/op	       8 B/op	       1 allocs/op
BenchmarkAlloc_8-4            	29441742	        39.47 ns/op	       8 B/op	       1 allocs/op
BenchmarkAlloc_8-4            	31748718	        36.19 ns/op	       8 B/op	       1 allocs/op
BenchmarkAlloc_8-4            	31608818	        37.97 ns/op	       8 B/op	       1 allocs/op
BenchmarkAlloc_8-4            	34315078	        42.48 ns/op	       8 B/op	       1 allocs/op
BenchmarkAlloc_16-4           	22583466	        64.27 ns/op	      16 B/op	       1 allocs/op
BenchmarkAlloc_16-4           	22564472	        55.09 ns/op	      16 B/op	       1 allocs/op
BenchmarkAlloc_16-4           	18849618	        64.28 ns/op	      16 B/op	       1 allocs/op
BenchmarkAlloc_16-4           	19091264	        68.91 ns/op	      16 B/op	       1 allocs/op
BenchmarkAlloc_16-4           	18918219	        64.19 ns/op	      16 B/op	       1 allocs/op
BenchmarkAlloc_16-4           	18923796	        79.39 ns/op	      16 B/op	       1 allocs/op
BenchmarkAlloc_16-4           	17418798	        59.40 ns/op	      16 B/op	       1 allocs/op
BenchmarkAlloc_16-4           	20967974	        63.24 ns/op	      16 B/op	       1 allocs/op
BenchmarkAlloc_16-4           	25766826	        51.82 ns/op	      16 B/op	       1 allocs/op
BenchmarkAlloc_16-4           	23176899	        50.76 ns/op	      16 B/op	       1 allocs/op
BenchmarkAlloc_16-4           	19374421	        65.26 ns/op	      16 B/op	       1 allocs/op
BenchmarkAlloc_16-4           	22358679	        62.90 ns/op	      16 B/op	       1 allocs/op
BenchmarkAlloc_16-4           	20571337	        62.22 ns/op	      16 B/op	       1 allocs/op
BenchmarkAlloc_16-4           	20988174	        64.85 ns/op	      16 B/op	       1 allocs/op
BenchmarkAlloc_16-4           	22766752	        66.20 ns/op	      16 B/op	       1 allocs/op
BenchmarkAlloc_16-4           	18363532	        71.52 ns/op	      16 B/op	       1 allocs/op
BenchmarkAlloc_16-4           	18447516	        59.07 ns/op	      16 B/op	       1 allocs/op
BenchmarkAlloc_16-4           	16993806	        67.65 ns/op	      16 B/op	       1 allocs/op
BenchmarkAlloc_16-4           	22891471	        68.65 ns/op	      16 B/op	       1 allocs/op
BenchmarkAlloc_16-4           	15638803	        66.91 ns/op	      16 B/op	       1 allocs/op
BenchmarkAlloc_32-4           	20525581	        73.73 ns/op	      32 B/op	       1 allocs/op
BenchmarkAlloc_32-4           	14476372	        87.53 ns/op	      32 B/op	       1 allocs/op
BenchmarkAlloc_32-4           	16551874	        68.69 ns/op	      32 B/op	       1 allocs/op
BenchmarkAlloc_32-4           	18624478	        81.93 ns/op	      32 B/op	       1 allocs/op
